file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,47,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,20
style.css,48,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,13
style.css,49,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,17
style.css,50,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,13
style.css,51,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,52,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,53,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,13
style.css,54,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,43
style.css,55,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,20
style.css,56,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,57,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,58,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,11
style.css,59,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,45
style.css,60,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,57
style.css,61,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,62,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,63,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,16
style.css,64,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,4
style.css,65,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,12
style.css,66,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,30
style.css,67,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,1,7
style.css,68,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
style.css,69,css,2acd784f,vsahjwani,2025-04-12,22:19:11,-07:00,2025-04-12T22:19:11-07:00,0,0
